ContractID,Team,Person,ContractEnd,ContractStart,Salary
7AEI-7747,WI-704,423-WR4-647,2023-11-05,2020-09-01,36621
FKJV-2109,WI-704,261-XO4-843,2024-03-13,2021-11-21,73664
2FP4-4637,OF-955,170-AS8-365,2022-10-02,2021-11-11,15853
C60P-9344,OF-955,109-JT9-449,2024-05-29,2020-01-23,54403
WWLS-3228,ZK-987,698-TZ0-775,2024-11-17,2021-01-30,61954
WDZU-6645,YC-315,119-ER9-769,2023-11-01,2019-06-09,54126
9W9K-3625,JG-818,238-SM0-377,2023-09-25,2021-09-18,55754
IBBY-6940,YC-315,491-VX2-917,2024-05-06,2022-04-03,83891
ERIQ-2365,QL-031,231-FW9-619,2023-12-06,2019-10-30,31562
S7UU-6250,KW-724,615-AS5-896,2023-06-09,2021-02-07,30606
GUU4-0603,YZ-552,441-CM4-217,2024-08-11,2022-01-27,38051
5NH0-2079,KG-943,254-NM8-355,2024-02-15,2019-09-27,35869
ACX1-9651,JG-818,871-AB5-477,2024-02-17,2021-09-15,81693
PKFX-4234,WI-704,982-TF5-492,2023-06-11,2021-10-14,40617
7M9T-2468,YZ-552,827-LU5-734,2022-09-01,2019-12-07,90319
87LM-8480,OF-955,333-RA3-883,2023-07-10,2020-04-22,66409
VNGY-7490,KW-724,137-JI5-502,2023-10-02,2020-02-19,27152
TMQA-5104,TJ-663,772-UU8-666,2024-05-04,2020-08-21,78911
SKIE-1553,KW-724,949-QN0-142,2022-11-05,2021-11-11,28022
X1FG-2008,YC-315,505-HS9-547,2023-08-02,2021-08-02,82774
BB6R-7672,FJ-273,726-CN4-685,2022-10-10,2021-06-27,68295
EYHN-6429,YZ-552,498-UG9-961,2024-03-12,2021-01-26,22662
P6BQ-1255,JG-818,951-FS1-993,2023-11-23,2020-01-15,88902
MZRF-9427,OF-955,012-WS5-050,2022-11-05,2020-03-25,59871
RTVB-8006,PN-497,852-KN7-102,2024-02-14,2020-06-10,47718
2H5B-3062,YC-315,180-ID3-230,2024-07-02,2019-08-12,30020
BVST-5840,KW-724,505-OR0-301,2024-05-31,2022-05-13,87992
I01Q-5420,KG-943,839-JP9-828,2025-02-02,2019-06-27,67299
DKXB-6904,ZK-987,430-WF9-896,2022-07-22,2019-12-17,31955
BTLM-2064,OF-955,368-LR6-365,2024-06-25,2019-10-25,47352
Y16J-5378,PY-241,919-AM1-033,2024-04-04,2021-10-28,18054
ZX66-5669,WI-704,747-IG0-231,2022-10-05,2021-07-24,13226
ZVNZ-9166,YZ-552,083-HE7-565,2023-04-10,2020-09-15,88581
HV7Q-5950,JG-818,107-DX1-283,2023-01-17,2020-11-24,49984
544B-5116,QL-031,664-ZP6-357,2025-01-02,2022-04-23,46059
OLWZ-2301,KG-943,454-QG1-865,2023-09-11,2021-12-22,77460
GA6H-9438,NX-742,634-UD2-328,2024-03-21,2021-05-23,51150
TUED-8203,RJ-217,139-NX5-776,2024-08-23,2020-01-16,74723
QSHD-3647,YZ-552,245-UT0-166,2023-11-19,2020-05-02,94572
MVG6-6772,YC-315,961-JB4-917,2023-02-11,2019-10-03,59234
VW0I-5087,KW-724,733-ZD7-071,2022-09-06,2021-05-29,75919
6BID-8907,RJ-217,912-BN7-696,2023-11-19,2020-08-18,95013
C70F-7786,QL-031,491-FU9-510,2023-06-10,2021-04-02,85251
CL4R-6252,KG-943,282-JJ5-864,2024-03-19,2019-07-22,91446
E09B-2299,WI-704,873-QW3-024,2024-04-17,2020-01-22,66612
GX13-0348,YC-315,477-VA4-962,2023-07-25,2022-03-29,66726
Q8YO-1108,KG-943,624-NI5-861,2024-08-01,2019-07-17,73564
6S29-2491,KG-943,097-GV5-335,2024-09-19,2020-02-07,72641
4IH1-8167,FJ-273,829-AT9-252,2023-09-14,2021-08-28,44338
HD5W-3518,OF-955,765-VE0-037,2024-02-29,2019-06-29,35113
5JUN-8467,JG-818,325-JO8-424,2024-03-19,2020-02-12,75471
VT7E-6909,PY-241,999-LK9-018,2024-09-18,2020-11-02,72214
0J14-5587,RJ-217,194-VU7-870,2023-02-23,2021-01-22,75111
1SG7-2157,PN-497,217-OP6-426,2023-12-29,2020-08-10,61456
6PP9-2401,KG-943,125-ZU5-652,2024-06-20,2021-02-16,35761
5T06-1907,EZ-769,855-SK1-091,2022-10-07,2020-08-03,52277
J29Q-4062,RJ-217,272-YX1-017,2023-04-14,2021-09-04,56483
TLIG-0318,FO-623,612-ND9-668,2023-01-08,2019-11-12,82097
XZVN-5648,YZ-552,099-ZX7-057,2023-05-24,2021-01-14,23471
NJXX-0332,YZ-552,847-OK3-068,2024-06-05,2020-10-03,83783
52U4-4771,OF-955,669-GJ0-771,2022-06-13,2021-03-18,14275
1XRE-8915,OF-955,086-EO9-108,2024-06-28,2020-04-22,10659
KO9O-1794,KG-943,514-GT6-516,2023-01-20,2021-10-06,79926
EESB-0955,OF-955,810-EU7-341,2023-09-26,2019-11-08,28927
5871-1400,YC-315,245-OQ2-889,2024-05-28,2019-06-28,42906
IMZC-3420,RJ-217,941-VZ6-355,2023-05-10,2021-06-08,55647
LEW1-2056,YT-531,867-KO8-972,2024-11-05,2020-01-25,58673
0E80-1941,ZK-987,979-PJ2-297,2024-01-13,2021-06-04,23787
75YS-4806,YT-531,248-VK0-092,2024-11-28,2020-01-29,53214
TU7W-1863,QL-031,884-BE6-289,2025-05-19,2021-08-31,53157
YYCM-0864,FO-623,709-AP9-464,2023-02-17,2020-10-22,39014
9ZFB-9172,FJ-273,950-YB7-788,2023-03-06,2020-02-28,24764
S3LF-9133,FJ-273,550-NN2-712,2023-02-27,2020-02-02,66665
1CRF-8005,FO-623,670-SW2-431,2024-01-03,2022-03-21,61611
HJHU-9475,FO-623,431-IH0-842,2024-12-08,2022-02-19,53294
KYN2-6037,RJ-217,348-CU6-376,2025-02-21,2019-11-17,41102
7ZPU-3058,QL-031,514-PJ0-491,2023-02-20,2019-08-28,20720
KP31-3964,ZK-987,336-EQ2-023,2025-04-26,2019-12-18,29923
06H1-0076,WI-704,683-ET7-415,2025-02-03,2022-01-23,35631
IZX9-1561,KW-724,085-XY3-095,2025-04-14,2020-02-23,63104
0P76-9446,PY-241,379-WJ2-076,2022-07-07,2020-04-15,77104
U49O-3187,OF-955,137-UH3-255,2025-02-16,2021-05-07,87559
GKXM-2124,ZK-987,542-AG7-825,2022-09-10,2022-01-09,91547
NVTE-8906,EZ-769,864-AL3-540,2025-05-02,2022-03-23,43820
7RCB-2762,OF-955,300-NN0-639,2025-05-19,2021-12-03,50372
AA0J-1078,TJ-663,941-AR2-289,2022-12-04,2019-07-15,32760
DNUR-8351,TJ-663,821-RI9-071,2023-01-05,2022-05-27,17331
UCCH-5408,NX-742,007-UM9-521,2025-05-25,2020-05-28,86667
E6UF-6301,YZ-552,182-YU8-111,2024-10-15,2020-12-21,79651
OIDX-9104,PN-497,150-KE8-944,2024-10-01,2019-09-15,62002
9X16-4539,YT-531,791-RR9-878,2024-10-26,2020-08-24,45504
KAE7-7084,PN-497,158-WF6-074,2023-06-21,2020-03-05,28137
CMIM-4825,KW-724,283-HI8-051,2023-02-05,2021-06-24,66170
OFLJ-9388,YZ-552,808-MV9-013,2023-12-12,2019-09-26,18740
49PD-3557,RJ-217,141-VN7-262,2024-08-11,2019-06-21,48892
KLDM-2453,FO-623,938-LR9-541,2024-11-01,2020-04-22,43940
QWC4-7575,KW-724,121-VV3-090,2022-07-28,2021-06-05,93945
GYHS-0507,JG-818,377-WK5-057,2025-01-26,2020-03-04,87723
WP1A-8715,FJ-273,591-BN3-080,2023-10-09,2021-09-22,23596
NQL9-5102,NX-742,036-UN8-401,2022-10-02,2021-10-22,62182
69UF-0140,OF-955,189-CI5-040,2024-03-14,2019-09-26,80967
L635-4332,YT-531,388-SN9-224,2024-02-26,2019-08-08,19650
30JT-6251,NX-742,320-RQ6-732,2023-02-18,2019-10-25,78086
3GMY-4331,FJ-273,502-NH5-738,2023-12-29,2021-07-18,33219
UZJF-2804,RJ-217,398-DI1-648,2023-05-01,2019-10-22,51590
XA8R-4753,YC-315,291-RB2-713,2024-02-03,2021-01-30,51240
5IAE-7052,TJ-663,943-NO0-821,2022-12-03,2020-01-17,19411
H4YT-4328,KG-943,896-KP3-983,2023-02-24,2019-09-27,12506
LKF6-8353,RJ-217,696-ZO4-110,2024-11-10,2022-03-26,18474
4IXD-9936,EZ-769,325-TW2-554,2023-09-21,2020-01-25,47531
K0M6-3188,RJ-217,321-KQ3-280,2022-08-14,2019-08-09,55730
XIXD-3920,KW-724,960-QB7-972,2024-01-13,2021-01-30,65056
VGX4-8957,FO-623,161-XP3-564,2024-06-19,2020-11-03,46342
J4QJ-3074,EZ-769,172-NA6-376,2025-03-29,2019-07-26,25426
WSDT-3912,PY-241,454-ES1-200,2024-09-02,2020-12-10,42216
O52E-1549,PN-497,509-TG5-593,2022-07-08,2019-10-27,86222
KM0T-0081,WI-704,502-QG2-172,2024-08-07,2020-01-06,22456
15UQ-6244,RJ-217,223-JC4-074,2024-04-01,2019-09-10,80303
PH41-4354,QL-031,828-BO5-233,2022-09-05,2019-09-11,99725
DU72-1645,EZ-769,047-UK8-591,2024-03-12,2022-01-24,79595
K2OE-7505,YZ-552,266-DY9-216,2024-11-18,2021-09-06,96069
R8OS-4048,FO-623,782-JZ2-922,2025-04-20,2020-12-08,23912
Y5WW-1772,PY-241,606-EB2-035,2024-04-02,2022-05-28,39558
JV61-5205,KW-724,413-VS7-660,2024-11-04,2022-01-23,53537
6FXL-4892,TJ-663,716-YB3-777,2024-05-05,2021-08-17,41286
S72N-5727,PN-497,365-LI2-338,2025-01-19,2020-09-03,63721
QQ8I-1123,YT-531,286-LF6-715,2022-07-25,2019-10-11,36514
7J9X-2596,YC-315,418-FJ8-073,2023-11-22,2020-05-19,43635
06PI-7052,WI-704,797-AR8-660,2023-05-16,2021-08-24,55079
21TQ-3012,QL-031,383-IJ4-401,2025-03-04,2022-03-08,52770
GKYS-0213,PN-497,176-KA6-944,2023-05-28,2022-01-25,62906
6OQW-3874,KG-943,054-LI7-004,2023-07-24,2020-04-20,79107
9Z9I-8479,KW-724,959-VU6-220,2025-02-05,2020-04-12,10675
J1VD-8014,PY-241,968-JI1-429,2023-03-08,2020-07-03,74593
HBWL-0329,KW-724,868-QC5-585,2023-07-11,2021-07-20,27275
6YVJ-1347,TJ-663,921-VW8-179,2023-04-15,2022-01-22,68479
4KU9-6669,YC-315,919-YQ0-656,2024-11-28,2020-03-19,66211
WPL9-4609,NX-742,834-MX1-990,2022-06-27,2021-06-06,80082
J3Q0-6254,YZ-552,060-IK4-151,2025-05-15,2019-08-18,98992
Z4Z1-5088,YC-315,657-NS3-680,2024-11-28,2021-11-20,30112
KGE6-1658,PY-241,505-TW9-961,2024-12-12,2019-08-08,29369
AXFM-0210,FO-623,047-WR8-552,2022-12-16,2021-06-21,61596
TE5G-7857,RJ-217,423-IF1-937,2024-04-05,2021-01-08,58884
NEA4-7508,YC-315,610-HC0-562,2023-12-04,2019-10-22,77678
EWDZ-5304,KW-724,629-LD8-450,2023-01-03,2021-09-22,61591
A1VO-0878,YT-531,099-OV9-601,2023-12-31,2020-03-19,32417
YQCC-2125,QL-031,659-TY9-505,2025-05-17,2020-08-20,10864
CDJU-7154,KW-724,691-HS5-320,2025-05-19,2022-02-26,66923
DP0A-9465,KG-943,195-XJ5-276,2024-01-31,2021-12-29,76563
M682-6228,TJ-663,954-YH7-289,2023-07-24,2020-04-06,98356
LOLY-2063,OF-955,413-LG8-183,2024-08-19,2019-08-08,37279
7WLC-6628,KW-724,055-QD3-730,2022-10-14,2021-02-24,52724
Z5YV-7599,EZ-769,465-GG6-834,2023-08-17,2019-07-19,42603
0ZZJ-0206,YT-531,833-EL2-143,2023-12-29,2019-06-08,87453
X1M4-4708,QL-031,244-LC4-934,2023-02-25,2020-11-20,65155
IGDK-3484,YT-531,011-BZ8-879,2023-11-22,2022-04-10,79807
HQEH-8265,RJ-217,952-IY2-424,2023-08-25,2019-07-16,95689
DTOI-2914,YT-531,922-KL8-633,2025-05-06,2019-06-07,71001
ENQQ-3338,YC-315,371-RT3-593,2022-09-20,2022-04-03,63108
G6QD-1726,RJ-217,346-VD3-688,2022-12-30,2022-05-18,62867
TQJN-9396,YT-531,872-OX1-629,2025-02-02,2019-08-02,45963
UF7F-0542,YZ-552,014-KX2-244,2023-06-25,2021-03-04,21391
BRG5-4234,YC-315,435-NG5-094,2024-09-08,2022-02-08,52040
C4Q8-9538,ZK-987,553-ZV6-348,2022-07-20,2021-02-06,78706
MNMA-1789,ZK-987,830-UE9-199,2022-10-05,2020-10-07,13248
10FC-8743,FJ-273,686-QW4-321,2024-03-29,2022-01-06,59719
VKB2-1111,EZ-769,978-AY3-521,2022-07-07,2021-05-08,50774
OKKI-3399,YC-315,956-TF0-278,2022-08-15,2020-07-23,13326
7X2X-3466,FO-623,110-BX4-594,2022-08-04,2022-05-02,61969
CUJC-6092,ZK-987,586-AJ7-369,2023-09-08,2019-06-16,13989
B3KW-0606,FJ-273,736-CY0-541,2022-08-31,2020-10-07,38055
KUEE-6307,NX-742,201-AF1-433,2024-09-15,2020-12-11,65006
0LM3-9661,FO-623,408-MY3-161,2023-03-01,2020-03-14,75065
9SZA-8848,FO-623,088-RL8-495,2024-06-30,2020-09-28,69619
882B-2869,NX-742,623-RP1-771,2023-01-23,2020-11-12,16675
X2OS-2528,YC-315,101-MC3-457,2025-02-27,2020-05-05,47624
30U4-4373,YC-315,739-NF8-975,2024-08-14,2021-05-07,51879
LGJA-5466,FJ-273,024-QU6-234,2025-03-08,2022-05-10,43400
REYU-3349,FO-623,753-LI5-698,2023-12-06,2021-07-01,83824
HTDI-8471,TJ-663,936-XI2-910,2023-12-26,2020-02-27,77924
D4SG-9780,YC-315,024-AX8-067,2023-06-14,2019-12-14,85635
HSGF-7307,YZ-552,992-HI9-917,2023-01-02,2020-08-10,16230
8HMB-5421,EZ-769,731-CD8-792,2024-10-10,2021-10-16,32681
O05M-3402,YZ-552,881-OW4-709,2023-04-25,2022-02-14,23247
UTPO-3416,KG-943,784-EO3-970,2023-08-25,2019-08-21,38892
9252-8308,YT-531,626-EU8-855,2022-05-29,2022-03-16,97677
OTQI-9935,KW-724,816-SI0-037,2022-07-22,2020-11-01,59115
4G1U-9709,KG-943,528-TF7-964,2024-04-10,2021-10-21,87685
IUWU-4490,OF-955,283-XP5-616,2022-06-30,2019-09-03,41826
ZRYS-8879,WI-704,206-YQ6-135,2024-04-16,2022-03-03,15043
V3KC-7092,TJ-663,293-PP7-317,2025-02-20,2020-06-19,48939
DVS0-8938,YC-315,634-VS1-763,2023-05-08,2021-12-07,46368
9WGJ-0144,KG-943,318-CE0-226,2024-12-23,2022-04-26,69209
CCCJ-0145,FO-623,425-FK0-417,2023-07-16,2020-02-23,55866
6X93-0246,PN-497,006-VZ5-126,2023-08-26,2019-07-29,59447
AV3Q-5298,YC-315,293-QD6-042,2025-01-22,2020-07-18,23750
EMEJ-5225,KW-724,111-OR3-858,2022-09-17,2020-11-13,19827
ZDRV-2820,YC-315,343-QY1-413,2023-03-27,2019-12-19,57238
Q15Q-2227,YZ-552,320-QB6-645,2024-06-01,2019-09-10,27266
8K2W-4192,PY-241,546-MF2-654,2024-10-27,2022-02-08,62892
1OJ8-9852,YZ-552,899-NM7-290,2025-03-26,2021-02-13,41390
D6U2-3412,PY-241,615-VR4-436,2024-02-27,2020-11-28,81935
TPYV-0016,FO-623,275-SJ6-935,2022-11-08,2020-12-24,59779
OSU8-3346,YC-315,804-ZJ9-908,2023-10-30,2022-05-22,77214
YHBL-7264,FJ-273,014-UU4-981,2023-03-26,2019-10-28,14265
O30B-7518,RJ-217,595-IJ0-154,2023-11-05,2019-12-30,77335
8L48-5190,EZ-769,496-IJ0-685,2024-02-26,2021-06-14,27832
1XYQ-3423,QL-031,511-ZM0-851,2022-07-01,2019-10-31,51006
S6TT-1049,PY-241,187-IK8-270,2024-09-01,2021-10-24,69196
S734-2239,TJ-663,669-IG8-537,2023-05-25,2022-03-31,60227
POD8-2735,KG-943,817-JL5-663,2023-07-18,2021-02-27,62079
XTGF-6592,EZ-769,431-MA1-397,2023-06-07,2019-09-21,44342
T3BH-6647,TJ-663,487-PN8-685,2023-05-07,2021-10-11,63573
RZ0F-8925,WI-704,217-AF2-956,2025-04-12,2019-09-30,99758
8WTS-0701,YC-315,906-NK0-372,2025-03-19,2019-09-19,13589
7AC6-7005,WI-704,812-VH7-619,2025-04-05,2021-01-20,26533
9OVJ-7190,PN-497,675-JF6-980,2023-04-01,2021-08-10,10159
BGG6-2352,ZK-987,100-SK6-561,2024-03-26,2022-01-22,57483
XGSW-3428,YZ-552,282-AE1-498,2024-10-29,2021-01-31,66703
V389-2808,YT-531,929-OP6-561,2023-01-09,2020-05-01,97688
6TAE-8948,WI-704,494-KK3-479,2024-06-07,2019-09-06,73970
EIJ9-6647,YC-315,138-MB4-664,2023-03-13,2020-10-17,98230
NE77-8592,TJ-663,189-HN4-014,2025-03-09,2019-12-18,51858
XO8O-9721,QL-031,779-RX3-252,2023-06-04,2020-05-30,32632
8O7F-5487,JG-818,574-NW9-821,2024-09-26,2022-02-04,82538
6ZUG-0221,KG-943,065-NL5-886,2022-07-17,2020-07-26,35555
MPBF-2462,TJ-663,670-OJ8-421,2023-07-21,2020-03-31,17766
9RSS-6471,ZK-987,824-XA8-283,2023-06-10,2021-09-17,93973
JIT0-2102,EZ-769,922-WB0-616,2023-05-18,2022-01-08,25638
NI9Y-5266,YZ-552,335-HF1-289,2023-12-15,2019-08-11,64486
B3ET-6708,TJ-663,140-HH7-061,2023-02-10,2021-12-04,87696
2MTC-0945,WI-704,331-BK3-901,2024-12-21,2020-04-09,70012
FOBO-9950,PY-241,657-FV3-319,2022-08-20,2019-12-31,46900
GRZA-9505,NX-742,144-PU7-987,2022-09-29,2021-05-21,10557
QNR0-8002,KG-943,984-NJ8-256,2024-05-18,2021-04-15,28887
M6GX-1443,ZK-987,449-FV4-087,2023-05-06,2020-05-17,60205
U5GI-5771,OF-955,642-AE1-323,2024-07-05,2019-09-17,23571
WN14-6231,JG-818,716-OI6-500,2023-03-21,2019-08-22,45829
9BJL-7918,YT-531,787-ED5-558,2022-10-30,2019-12-15,39845
SNCF-9023,TJ-663,902-FU9-556,2025-03-20,2020-12-16,27450
7GPQ-1458,RJ-217,381-UZ3-413,2024-04-11,2020-07-18,73489
QEVH-8905,YZ-552,478-EO8-271,2024-11-20,2022-01-06,57639
L8PH-1308,YZ-552,835-SA6-519,2023-12-02,2021-04-30,58531
29YY-7158,KG-943,080-WF3-784,2024-11-30,2022-02-23,15697
FDBO-3455,JG-818,791-CC3-355,2023-10-24,2021-01-04,35511
MGL8-0959,NX-742,815-UI9-718,2023-11-28,2021-06-12,68304
M3C9-8545,WI-704,628-TI8-442,2023-12-17,2019-07-03,75331
OGGE-7071,YZ-552,262-XN6-196,2023-12-13,2022-02-18,10160
WVI5-5587,JG-818,749-GR1-967,2023-02-12,2022-05-14,93453
V2HS-8167,KG-943,560-WX2-970,2022-07-14,2020-08-11,94384
O6E9-0565,PN-497,844-HR8-474,2023-04-16,2021-11-13,14044
V6LX-1268,TJ-663,014-JL4-950,2024-03-07,2020-08-28,17605
ZVOB-5106,ZK-987,935-CX7-430,2024-03-23,2019-11-01,76752
JURC-6423,EZ-769,984-UG7-447,2023-07-14,2020-03-22,59114
NBWQ-7717,EZ-769,514-QG1-158,2023-08-11,2020-03-26,43724
0DOQ-3489,NX-742,604-OY4-366,2023-08-11,2019-10-15,21435
92ZV-5046,KW-724,348-XC2-517,2023-07-15,2021-03-17,54438
G9UZ-7522,PN-497,034-WC5-074,2022-11-30,2020-04-10,96638
HIVU-2512,ZK-987,191-FJ8-789,2024-04-04,2021-05-19,67978
YX2M-3474,YC-315,696-FE9-401,2023-05-03,2022-04-25,15184
6WJR-5572,KW-724,333-VJ7-526,2022-06-03,2019-08-14,56733
QJV4-0688,TJ-663,522-VO5-997,2025-01-21,2020-07-26,94647
CJIY-0481,KW-724,710-HW4-386,2025-05-09,2022-03-31,25625
